job_id,job_title,company,job_function,job_type,industry,career_level,years_of_experience,qualification,benefits
100003010741729,Accounting Executive - Account Receivable / Account Payable,ASICS HongKong Limited,"Accounting, Accountant, Accounting Clerk / Supervisor, Others","Full Time, Permanent",,Entry Level,N/A,Non-Degree Tertiary,"Dental insurance, Double pay, Life insurance, Medical insurance, Performance bonus, Five-day work week, Flexible working hours"
100003010738884,Business Development Executive,BridgeBuilder Company Limited,"Information Technology (IT), Technical / Functional Consulting, Sales, CS & Business Devpt, Account Servicing, Sales Administration",Full Time,,Middle,N/A,Degree,"Life insurance, Medical insurance, Overtime pay, Performance bonus, Transportation allowance, Work from home, Five-day work week, Flexible working hours"
100003010744530,Account clerk 財務會計職員,China Lounge Investments Ltd,"Accounting, Finance / Accounting Manager",Full Time,,Entry Level,3 years,Degree,"Double pay, Education allowance, Life insurance, Medical insurance, Performance bonus, Transportation allowance, Five-day work week"
100003010738882,System Support Officer,BridgeBuilder Company Limited,"Information Technology (IT), IT Project Management / Team Lead",Full Time,,Middle,1 year,Degree,"Medical insurance, Overtime pay, Performance bonus, Transportation allowance, Five-day work week, Flexible working hours"
100003010744605,Account Executive (E-commerce/Sport/Event),505 United Limited,"Marketing / Public Relations, Public Relations - Event Management, Digital Marketing, E-commerce, Marketing - Brand / Product Management","Full Time, Permanent, Internship",,Entry Level,N/A,Degree,"Double pay, Medical insurance, Performance bonus, Transportation allowance, Work from home, Five-day work week, Flexible working hours"
100003010742457,Social Media Manager SMM - China/Hong Kong,Aptos Asia Limited,"Marketing / Public Relations, Marketing - Brand / Product Management",Full Time,,Senior,3 years,Degree,"Medical insurance, Overtime pay, Transportation allowance, Travel allowance, Five-day work week"
100003010745017,Finance Officer,NV5 Limited,"Accounting, Accountant, Accounting Clerk / Supervisor, Others",Full Time,,,,,"Medical insurance, Five-day work week"
100003010741443,私人助理  Personal Assistant,Oriental International Consultancy Firm,"Banking / Finance, Financial Services",Full Time,,Entry Level,1 year,Non-Degree Tertiary,"Medical insurance, Performance bonus, Five-day work week"
100003010745041,Designer ( Toys / Graphic / 3D CAD ),Sentinel International Co. Limited,"Design, Graphics, Industrial / Product, Others",Full Time,,Middle,1 year,Non-Degree Tertiary,"Medical insurance, Performance bonus"
100003010743752,Teacher Assistant,St. Paul's Co-Educational College,"Admin & HR, Clerical / Admin Staff","Full Time, Permanent",,Entry Level,,Degree,
100003010741194,Senior Human Resources Officer (Training team - Well-being & Events),Uni-China (Market) Management Limited,"Admin & HR, HR Supporting Staff, Training & Development","Full Time, Permanent",,Entry Level,4 years,Non-Degree Tertiary,"Double pay, Medical insurance, Performance bonus, Five-day work week"
100003010744576,Shipping Clerk,Toray Industries (H.K.) Limited,"Transportation & Logistics, Shipping, Merchandising & Purchasing, Fabrics, Textiles","Full Time, Permanent",,Entry Level,3 years,Non-Degree Tertiary,"Dental insurance, Double pay, Medical insurance, Performance bonus, Five-day work week"
100003010744933,Senior Marketing Executive,Life Young Healthcare Limited,"Marketing / Public Relations, Marketing - Brand / Product Management, Marketing - Direct Marketing, Public Relations - Event Management","Full Time, Permanent",,Entry Level,3 years,Degree,"Medical insurance, Performance bonus, Five-day work week"
100003010744787,PR Executive,Joyous Communications Limited,"Marketing / Public Relations, Marketing - Marketing Communication, Public Relations - Event Management, Public Relations - General / Support","Full Time, Permanent",,Entry Level,,Degree,"Dental insurance, Double pay, Medical insurance, Overtime pay, Five-day work week"
100003010744968,Clerk,Hong Kong Biotechnology Organization,"Others, Student / Fresh Graduate / No Experience","Full Time, Contract",,Entry Level,N/A,School Certificate,"Medical insurance, Five-day work week"
100003010743473,KYC Officer (6-month Contract),TNG (Asia) Limited,"Others, Others",Contract,,,,,
100003010743677,Senior Graphic Designer | Media Agency,Fabcom Limited,"Design, Graphics",Full Time,,Entry Level,1 year,Non-Degree Tertiary,"Free shuttle bus, Medical insurance, Performance bonus, Five-day work week"
100003010741046,Department Secretary,San Miguel Brewery Hong Kong Limited,"Admin & HR, Clerical / Admin Staff, Personal / Executive Assistant, Secretary","Full Time, Permanent",,Entry Level,3 years,School Certificate,"Double pay, Medical insurance, Five-day work week"
100003010745046,Event / Project Coordinator,KVL Productions Company Limited,"Media & Advertising, Account Servicing, Production, Marketing / Public Relations, Public Relations - Event Management","Full Time, Permanent",,Entry Level,,Degree,
100003010744413,Sales Coordinator (Export),HTL Limited,"Marketing / Public Relations, Marketing - Brand / Product Management, Marketing - General / Support, Others",Full Time,,Middle,2 years,Non-Degree Tertiary,"Dental insurance, Double pay, Life insurance, Medical insurance, Performance bonus, Five-day work week, Flexible working hours"
100003010744491,Graphic & Event Decoration Designer,Intermax Productions Limited,"Design, Graphics, Multi-media","Full Time, Permanent",,Middle,1 year,Degree,"Performance bonus, Five-day work week"
100003010744030,Administrative Assistant,Taste of Asia Group Limited,"Admin & HR, Others, HR Supporting Staff, Recruitment / Executive Search",Full Time,,,,,
100003010743381,"九龍灣區 - csl. 網上銷售主任 - 月薪高達30K (五天工作, 需輪班輪休)",csl Mobile Limited,"Media & Advertising, Others, Sales, CS & Business Devpt, Call Centre, Tele-sales (Telemarketing)","Full Time, Permanent",,Entry Level,1 year,School Certificate,"Free shuttle bus, Medical insurance"
100003010739656,General Clerk 文員,Big Grains Limited,"Admin & HR, Clerical / Admin Staff, Hospitality / F & B, Food & Beverage, Merchandising & Purchasing, Others",Full Time,,Entry Level,1 year,,"Double pay, Performance bonus, Transportation allowance, Five-day work week"
100003010744964,Engineer/ Assistant Engineer (Electrical),Hongkong International Terminals Limited,"Engineering, Electrical / Electronics, Engineering Project Management, Mechanical","Full Time, Permanent",,Entry Level,,Degree,"Double pay, Free shuttle bus, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003010744876,Personnel Supervisor 人事督導,Mekim Limited,"Admin & HR, Clerical / Admin Staff, Compensation & Benefits, HR Supporting Staff","Full Time, Permanent",,Middle,4 years,Non-Degree Tertiary,"Double pay, Medical insurance, Five-day work week, Flexible working hours"
100003010743976,By-laws Inspection Unit Officer (Ref: 230001SH),MTR Corporation Limited,"Transportation & Logistics, Others, Private Transportation, Public Transportation","Full Time, Permanent",,Middle,2 years,School Certificate,
100003010742214,Assistant Administration Officer,Sun Life Hong Kong Ltd,"Admin & HR, Clerical / Admin Staff","Full Time, Permanent",,Entry Level,,,"Dental insurance, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003010742344,Assistant Accounting Manager,Renishaw (HK) Ltd,"Accounting, Finance / Accounting Manager","Full Time, Permanent",,Middle,8 years,Degree,"Dental insurance, Double pay, Free shuttle bus, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003010743275,Project Administrator (6 months contract),Siemens Ltd,"Accounting, Accounting Clerk / Supervisor, Transportation & Logistics, Others, Shipping","Full Time, Temporary, Contract",,,,,Five-day work week
100003010741686,Sales Clerk,Swiss Polymeric International Limited,"Others, Trading",Full Time,,,N/A,(N/A),
100003010745012,Operation and Maintenance Officer (IT),"Guosen Securities (HK) Financial Holdings Company, Limited","Banking / Finance, Financial Services, Information Technology (IT), Application Specialist - Software, Network & System","Full Time, Permanent",,Entry Level,3 years,Degree,"Dental insurance, Medical insurance, Performance bonus, Five-day work week"
100003010744197,Marketing Manager,"Nu Skin Enterprises Hong Kong, LLC","Marketing / Public Relations, Marketing - Brand / Product Management, Marketing - Direct Marketing, Marketing - Marketing Communication","Full Time, Permanent",,Middle,5 years,Degree,"Dental insurance, Education allowance, Life insurance, Medical insurance, Performance bonus, Work from home, Five-day work week, Flexible working hours"
100003010743384,Sales Coordinator,OpSec Delta (HK) Limited,"Manufacturing, Garment / Textile, Merchandising & Purchasing, Others, Sales, CS & Business Devpt, Account Servicing",Full Time,,,3 years,Postgraduate,"Double pay, Medical insurance, Five-day work week"
100003010743561,JUNIOR ACCOUNT CLERK (AP),Macnica Cytech Limited,"Accounting, Accounting Clerk / Supervisor",Permanent,,,,,"Dental insurance, Double pay, Medical insurance, Performance bonus, Five-day work week, Flexible working hours"
100003010744890,Assistant Customer Services Officer (Commercial Building in Sheung Wan),Jones Lang LaSalle Management Services Ltd,"Sales, CS & Business Devpt, Customer Service - Supervisor / Officer, Hospitality / F & B, Hospitality / Hotel Services, Property / Real Estate, Property Management","Full Time, Permanent",,Entry Level,1 year,Non-Degree Tertiary,"Education allowance, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003010741130,Assistant Officer (Human Resources) (Ref: AO (HR)_RD_NOV23),The Hong Kong Society for Rehabilitation,"Admin & HR, HR Supporting Staff","Full Time, Contract",,Entry Level,2 years,Degree,"Dental insurance, Medical insurance, Five-day work week"
100003010744904,IT Support Assistant (免費Yoga及Kickboxing班),York English & Chinese Kindergarten,"Information Technology (IT), Support, Network & System, Others","Full Time, Permanent",,Entry Level,1 year,Non-Degree Tertiary,"Medical insurance, Overtime pay"
100003010742617,Customer Service / Sales Admin,Kimsion Plastic & Metal Manufacturing Limited,"Admin & HR, Clerical / Admin Staff, Sales, CS & Business Devpt, Customer Service - Supervisor / Officer, Account Servicing",Full Time,,Entry Level,3 years,School Certificate,"Education allowance, Medical insurance, Performance bonus"
100003010744527,Financial Systems Officer,Hongkong International Terminals Limited,"Accounting, Others, Banking / Finance, Others, Information Technology (IT), Network & System","Full Time, Permanent",,Entry Level,3 years,Non-Degree Tertiary,"Double pay, Free shuttle bus, Life insurance, Medical insurance, Five-day work week"
100003010744291,Assistant Underwriting Officer,Sun Life Hong Kong Ltd,"Insurance, Underwriter","Full Time, Permanent",,Entry Level,,,"Dental insurance, Life insurance, Medical insurance, Performance bonus, Work from home, Five-day work week"
100003010743276,Support Engineer (Electrical and Mechanical),Hong Kong Disneyland,"Engineering, Electrical / Electronics, Engineering Project Management, Mechanical","Full Time, Permanent",,Entry Level,3 years,Degree,"Dental insurance, Education allowance, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003010741447,Clerk,Wide China Engineering Limited,"Admin & HR, Clerical / Admin Staff","Full Time, Permanent",,Middle,1 year,Matriculated,"Overtime pay, Performance bonus, Five-day work week"
100003010744804,"Assistant Manager, Finance (Accounting)",iFAST Financial (HK) Limited,"Accounting, Accountant, Accounting Clerk / Supervisor, Audit","Full Time, Permanent",,Entry Level,N/A,Non-Degree Tertiary,"Dental insurance, Education allowance, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003010743812,Assistant Project Manager/ Senior Project Management Officer,AAStocks.com Limited,"Information Technology (IT), IT Project Management / Team Lead, Product Management / Business Analyst, Network & System","Full Time, Permanent",,Middle,3 years,Degree,"Dental insurance, Medical insurance, Five-day work week"
100003010745037,Human Resources Administrator,Lenovo PCCW Solutions,"Admin & HR, HR Supporting Staff","Full Time, Contract",,Entry Level,N/A,Degree,"Performance bonus, Five-day work week"
100003010740196,Graphic designer,Anglo Chinese Florist Limited,"Design, Graphics, Industrial / Product, Others",Full Time,,,3 years,,"Medical insurance, Performance bonus, Flexible working hours"
100003010743140,Senior Accounting Officer,NV5 Limited,"Accounting, Finance / Accounting Manager",Full Time,,Middle,5 years,Degree,"Overtime pay, Five-day work week"
100003010742343,短期理貨員 (網購衣履) (日/通宵班) (大量招聘),Maersk Contract Logistics (Hong Kong) Limited,"Transportation & Logistics, Inventory / Warehousing","Part Time, Temporary",,Entry Level,,,
100003010740684,Assistant (Human Resources) – New Headcount (Ref: A(HR)_HQ_NOV23),The Hong Kong Society for Rehabilitation,"Admin & HR, Clerical / Admin Staff","Full Time, Contract",,Entry Level,1 year,Non-Degree Tertiary,"Dental insurance, Education allowance, Medical insurance, Five-day work week"
100003010743817,HR Assistant,Welcome Construction Company Limited,"Admin & HR, Clerical / Admin Staff, Compensation & Benefits, HR Supporting Staff","Full Time, Permanent",,Entry Level,2 years,Matriculated,"Education allowance, Medical insurance, Performance bonus, Five-day work week"
100003010744426,科文 / 當值工程師 (Duty Engineer),TopTeam Services Hong Kong Limited,"Engineering, Electrical / Electronics, Mechanical, Others",Full Time,,,5 years,School Certificate,"Medical insurance, Performance bonus, Five-day work week"
100003010744967,Web Developer,Hong Kong Biotechnology Organization,"Information Technology (IT), Support, Software Development, UI/UX Designer","Full Time, Permanent",,Entry Level,2 years,Non-Degree Tertiary,"Medical insurance, Performance bonus, Five-day work week"
100003010743501,Accountant/ Finance executive (Sha Tin / 1 year contract- extendable),"JAC Recruitment Hong Kong Co., Limited","Accounting, Accountant",Contract,,Entry Level,2 years,Non-Degree Tertiary,
100003010242411,Senior Project Manager / Project Manager,Biocline Healthcare Services Limited,"Engineering, Electrical / Electronics, Engineering Project Management, Mechanical","Full Time, Permanent",,Middle,10 years,Degree,"Medical insurance, Performance bonus"
100003010740970,Administrative Officer,In N Out International Corporate Limited,"Admin & HR, Clerical / Admin Staff, Sales, CS & Business Devpt, Customer Service - Supervisor / Officer, Sales Administration",Full Time,,Middle,,Non-Degree Tertiary,"Gratuity, Medical insurance, Performance bonus, Five-day work week"
100003010743057,Operation Executive- Centre Support,致美醫學美容集團有限公司,"Admin & HR, Administration / Operation Manager, Beauty Care / Health, Beautician, Sales, CS & Business Devpt, Sales Administration","Full Time, Permanent",,Middle,2 years,Non-Degree Tertiary,"Gratuity, Medical insurance, Transportation allowance, Five-day work week"
100003010744464,Project Engineer,ebm-papst Hong Kong Limited,"Sales, CS & Business Devpt, Business Development, Engineering, Electrical / Electronics, Account Servicing","Full Time, Permanent",,Entry Level,,,"Dental insurance, Medical insurance, Performance bonus, Transportation allowance, Five-day work week"
100003010743748,"Financial Analysis Officer (MNC, 5 days)",Delken Group Limited,"Accounting, Accountant, Financial Analyst, Professional Services, Business Analysis / Data Analysis","Full Time, Permanent",,,,,"Medical insurance, Overtime pay, Performance bonus, Work from home, Five-day work week, Flexible working hours"
100003010635603,L1 Network Engineer,"Brocent Cloud Service Co., Limited","Information Technology (IT), Support, Network & System, Technical / Functional Consulting",Full Time,,,1 year,(N/A),"Medical insurance, Overtime pay, Travel allowance, Work from home, Five-day work week, Flexible working hours"
100003010743692,Manager - Business Analytics,ESD Services Limited (ESDlife),"Management, General Management, Information Technology (IT), Product Management / Business Analyst, E-commerce, Product Management / Business Analyst","Full Time, Permanent",,Middle,6 years,Degree,"Medical insurance, Performance bonus, Five-day work week, Flexible working hours"
100003010744286,System Engineer,CITIC Telecom International Holdings Limited,"Engineering, Electrical / Electronics, Telecommunication / Wireless / Radio","Full Time, Permanent",,Entry Level,2 years,Degree,"Dental insurance, Double pay, Free shuttle bus, Medical insurance, Performance bonus, Transportation allowance, Five-day work week"
100003010744023,Paralegal,W K To & Co,"Professional Services, Legal & Compliance","Full Time, Permanent",,Entry Level,N/A,Degree,"Medical insurance, Performance bonus, Five-day work week"
100003010740130,Customer Service Officer,Anglo Chinese Florist Limited,"Sales, CS & Business Devpt, Customer Service - Supervisor / Officer, Retail Sales, Others",Full Time,,,2 years,,"Medical insurance, Performance bonus"
100003010743969,Shop Sales 營業員 – Swatch,Swatch,"Sales, CS & Business Devpt, Retail Sales","Full Time, Permanent",,Entry Level,1 year,,"Dental insurance, Double pay, Life insurance, Medical insurance, Overtime pay"
100003010742818,Finance Manager,,"Accounting, Finance / Accounting Manager",Full Time,,Middle,5 years,Degree,"Medical insurance, Performance bonus, Five-day work week"
100003010744034,HR & Admin Assistant,Taste of Asia Group Limited,"Admin & HR, Others, HR Supporting Staff, Recruitment / Executive Search",Full Time,,,,,"Dental insurance, Medical insurance, Performance bonus, Five-day work week"
100003010698728,Administrative Officer,Brian Cha Motivation,"Accounting, Accounting Clerk / Supervisor, Admin & HR, Clerical / Admin Staff, Personal / Executive Assistant","Full Time, Permanent",,Entry Level,3 years,,"Performance bonus, Five-day work week"
100003010744489,"CFO (Cum Company Secretary), List Co. Exp.",Cheung Kei Asset Management Limited,"Accounting, Chief Accountant",Full Time,,Top,10 years,Degree,"Medical insurance, Five-day work week, Flexible working hours"
100003010744831,"Assistant Manager, Information Systems & Network",HKT,"Information Technology (IT), IT Management, Network & System, Others","Full Time, Permanent",,Middle,5 years,Degree,
100003010745116,O2C Specialist (Finance AR Role),Informa Markets Asia Limited,"Accounting, Accountant","Full Time, Permanent",,,,,"Dental insurance, Life insurance, Medical insurance, Five-day work week, Flexible working hours"
100003010745001,Secretary - 5days,Vivien Chan & Co.,"Admin & HR, Clerical / Admin Staff, HR Supporting Staff, Professional Services, Legal & Compliance","Full Time, Permanent",,Entry Level,1 year,School Certificate,"Dental insurance, Medical insurance, Performance bonus, Five-day work week"
100003010744139,Sales Manager / Sales Supervisor / Sales Executive (Advertising),Most Kwai Chung Limited,"Media & Advertising, Others, Marketing / Public Relations, Marketing - General / Support, Sales, CS & Business Devpt, Sales - Sales Management","Full Time, Permanent",,Entry Level,1 year,,"Medical insurance, Five-day work week"
100003010740079,Assistant Finance Manager / Senior Accountant,Windy City International Ltd,"Accounting, Accountant, Finance / Accounting Manager","Full Time, Permanent",,Middle,8 years,Degree,"Medical insurance, Five-day work week"
100003010743248,高級客戶服務主任,Alexander Mann Solutions (HK) Limited,"Banking / Finance, Retail Banking",Full Time,,,,,
100003010741305,Logistics Officer | New Headcount | Based in Tai Po,Vita Green Health Products Company Limited,"Transportation & Logistics, Others, Inventory / Warehousing, Supply Chain","Full Time, Permanent",,Entry Level,,Non-Degree Tertiary,"Dental insurance, Free shuttle bus, Medical insurance, Performance bonus, Five-day work week"
100003010738888,Graphic Designer (UX/UI),BridgeBuilder Company Limited,"Design, Graphics, Web Designer, Information Technology (IT), UI/UX Designer",Full Time,,Middle,N/A,(N/A),"Medical insurance, Overtime pay, Performance bonus, Five-day work week"
100003010744201,Graduate Trainee – Supply Chain Planner,Green Price Limited,"Transportation & Logistics, Inventory / Warehousing, Supply Chain","Full Time, Permanent",,Entry Level,,Degree,"Dental insurance, Double pay, Medical insurance, Performance bonus, Work from home, Five-day work week, Flexible working hours"
100003010745286,Marketing Manager ( Event) - Excellent Package,Leadership Solutions Limited,"Marketing / Public Relations, Marketing - Brand / Product Management, Marketing - Marketing Communication, Public Relations - Event Management","Full Time, Permanent",,Middle,6 years,Degree,"Dental insurance, Medical insurance, Performance bonus, Five-day work week"
100003010741122,Admin Clerk (5-days work),Silver Wings Trading Co Limited,"Admin & HR, Clerical / Admin Staff, Others, Others, Student / Fresh Graduate / No Experience","Full Time, Permanent",,Entry Level,,School Certificate,
100003010741954,Senior External Qualifications Executive / Officer (5-Day Work),The Hong Kong Institution of Engineers,"Admin & HR, Clerical / Admin Staff, Education, Others, Public / Civil, Social Services - Community / Non-profit Organization",Full Time,,Middle,5 years,Degree,"Dental insurance, Education allowance, Life insurance, Medical insurance, Five-day work week"
100003010738490,Guest Relations Officer (Ref:JDB/BMW/GRO/20231107),BMW Concessionaires (HK) Ltd,"Admin & HR, Receptionist, Sales, CS & Business Devpt, Customer Service - Supervisor / Officer, Hospitality / F & B, Hospitality / Hotel Services","Full Time, Permanent",,Entry Level,1 year,,"Double pay, Life insurance, Medical insurance, Overtime pay, Five-day work week"
100003010743995,Sales Associate -Causeway Bay Sogo,,"Sales, CS & Business Devpt, Retail Sales, Wholesale, Direct Sales",Full Time,,Entry Level,2 years,,"Dental insurance, Life insurance, Medical insurance"
100003010743221,Wealth Management Officer (Family Office),,"Banking / Finance, Investment, Financial Services, Asset Management","Full Time, Contract",,Senior,N/A,Degree,"Dental insurance, Life insurance, Medical insurance, Performance bonus, Travel allowance"
100003010743749,"Marketing Executive / Assistant Sales & Marketing Manager (Event, Exhibition, 3 openings)",Headsearch21 Consultancy Ltd,"Marketing / Public Relations, Marketing - Marketing Communication, Public Relations - Event Management, Digital Marketing","Full Time, Permanent",,Middle,2 years,Degree,"Double pay, Medical insurance, Performance bonus, Five-day work week"
100003010741036,Data Processing Assistant 資料處理助理,Modern Terminals Ltd,"Transportation & Logistics, Shipping, Maritime - General, Others, Others","Full Time, Permanent",,Entry Level,2 years,School Certificate,"Education allowance, Free shuttle bus, Life insurance, Medical insurance, Overtime pay, Performance bonus"
100003010740010,Assistant Finance Manager / Senior Accountant,LELO (HK) Limited,"Accounting, Finance / Accounting Manager, Financial Analyst, Taxation",Full Time,,Senior,5 years,Degree,"Dental insurance, Medical insurance, Performance bonus, Five-day work week"
100003010741575,Head of IT Department,Echo International Holdings Group Limited,"Information Technology (IT), IT Management",Full Time,,,5 years,,"Travel allowance, Five-day work week"
100003010742962,Human Resources Officer / Senior HR Officer,"Nu Skin Enterprises Hong Kong, LLC","Admin & HR, Compensation & Benefits, HR Supporting Staff, Recruitment / Executive Search","Full Time, Permanent",,,,,"Dental insurance, Education allowance, Life insurance, Medical insurance, Work from home, Five-day work week, Flexible working hours"
100003010744556,Account Manager,ECCOM Network (HK) Limited,"Information Technology (IT), Hardware, Product Management / Business Analyst, Network & System","Full Time, Permanent",,Middle,2 years,Non-Degree Tertiary,"Medical insurance, Performance bonus, Five-day work week, Flexible working hours"
100003010696771,Project Engineer / Assistant Project Engineer,Biocline Healthcare Services Ltd,"Engineering, Electrical / Electronics, Engineering Project Management, Mechanical","Full Time, Permanent",,Entry Level,N/A,Non-Degree Tertiary,"Medical insurance, Performance bonus"
100003010738815,Account Clerk,Banle Energy International Limited,"Accounting, Accounting Clerk / Supervisor, Financial Analyst, Others","Full Time, Permanent",,Entry Level,N/A,Non-Degree Tertiary,"Free shuttle bus, Medical insurance, Performance bonus, Five-day work week"
100003010744448,科文 / 當值工程師 (Duty Engineer),,"Engineering, Electrical / Electronics, Mechanical, Others",Full Time,,,5 years,School Certificate,"Medical insurance, Performance bonus, Five-day work week"
100003010740327,"Customer Service Officer 客戶服務主任 (可達17K或以上; 新人獎金$10,000)",PCCW Teleservices,"Sales, CS & Business Devpt, Call Centre, Customer Service - Supervisor / Officer",Full Time,,Entry Level,,School Certificate,
100003010744049,Sourcing Manager - ARC’TERYX,Amer Sports Sourcing Ltd,"Manufacturing, Garment / Textile, Merchandising & Purchasing, Woven / Knit, Procurement / Purchasing / Sourcing","Full Time, Permanent",,Senior,8 years,Degree,"Dental insurance, Education allowance, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003010744512,Senior Electrical Engineer / Electrical Engineering Manager,Dunwell Enviro-Tech (Holdings) Ltd,"Engineering, Electrical / Electronics, Engineering Project Management",Full Time,,Middle,8 years,Degree,"Medical insurance, Five-day work week"
100003010744736,Security Officer / Guards 保安主任 / 保安員 多名,Megastrength Security Services Co Ltd,"Sales, CS & Business Devpt, Customer Service - Supervisor / Officer, Others, Security / Safety Control, Student / Fresh Graduate / No Experience","Full Time, Part Time, Permanent, Contract",,Middle,N/A,Matriculated,"Medical insurance, Performance bonus"
100003010738886,Business Analyst  / Assistant Business Analyst  (HRMS),BridgeBuilder Company Limited,"Information Technology (IT), IT Project Management / Team Lead, Product Management / Business Analyst, Technical / Functional Consulting",Full Time,,Middle,1 year,Degree,"Medical insurance, Performance bonus, Transportation allowance, Travel allowance, Five-day work week, Flexible working hours"
100003010745045,Digital Editor,Zebra Digital Communications Company Limited,"Media & Advertising, Editorial / Journalism","Full Time, Permanent",,Middle,2 years,,"Performance bonus, Work from home, Five-day work week, Flexible working hours"
100003010741365,Court Recording Clerk (Full Time),"EPIQ Hong Kong, Limited","Admin & HR, Others","Full Time, Permanent, Contract",,Entry Level,1 year,School Certificate,"Dental insurance, Life insurance, Medical insurance, Overtime pay, Travel allowance"
100003010744371,"Business Analyst, Supply Chain Management",ASMPT Technology Hong Kong Limited,"Engineering, Manufacturing & Production","Full Time, Permanent",,Middle,,Degree,"Double pay, Education allowance, Medical insurance, Five-day work week"
100003010744202,Graduate Trainee – Buyer,Green Price Limited,"Sales, CS & Business Devpt, Business Development, Merchandising & Purchasing, Procurement / Purchasing / Sourcing, Wholesale","Full Time, Permanent",,Entry Level,,Degree,"Double pay, Education allowance, Medical insurance, Performance bonus, Work from home, Five-day work week, Flexible working hours"
100003010694351,Key Account Manager (FMCG Retail Business),Amoy Food Ltd,"Sales, CS & Business Devpt, Business Development, Account Servicing, Sales - Sales Management","Full Time, Permanent",,Middle,5 years,Degree,"Double pay, Free shuttle bus, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003010744333,"Assistant Manager, Underwriting & New Business",Sun Life Hong Kong Ltd,"Banking / Finance, Financial Services, Others, Insurance, Underwriter","Full Time, Permanent",,Middle,5 years,Degree,"Dental insurance, Education allowance, Life insurance, Medical insurance, Performance bonus, Work from home, Five-day work week"
100003010741405,Accounts Clerk,ESG Hong Kong Limited,"Accounting, Accounting Clerk / Supervisor, Treasurer, Others","Full Time, Permanent",,Entry Level,1 year,Non-Degree Tertiary,"Dental insurance, Medical insurance, Performance bonus, Five-day work week"
100003010742094,Retail Operation Assistant,Premier Food Limited,"Admin & HR, Administration / Operation Manager, Sales, CS & Business Devpt, Others","Full Time, Permanent",,Entry Level,1 year,Non-Degree Tertiary,"Dental insurance, Double pay, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003010744992,"Marketing Officer, Chinese Cuisine",Maxim's Caterers Ltd,"Marketing / Public Relations, Marketing - Brand / Product Management, Marketing - General / Support, Marketing - Marketing Communication","Full Time, Permanent",,Entry Level,1 year,,"Medical insurance, Five-day work week"
100003010744236,Backend Software Engineer,BKYO HK FINTECH LIMITED,"Engineering, Others","Full Time, Permanent",,,,,"Medical insurance, Overtime pay, Performance bonus, Five-day work week"
100003010744844,Project Manager,Kinetix Systems Ltd,"Information Technology (IT), IT Project Management / Team Lead, IT Management, Software Development","Full Time, Permanent",,,,Degree,"Dental insurance, Double pay, Education allowance, Medical insurance, Performance bonus, Work from home, Five-day work week, Flexible working hours"
100003010743837,Yard Planner 堆場策劃員,Modern Terminals Ltd,"Transportation & Logistics, Shipping, Maritime - General, Others, Others","Full Time, Permanent",,Entry Level,3 years,School Certificate,"Education allowance, Free shuttle bus, Life insurance, Medical insurance, Overtime pay, Performance bonus"
100003010742405,"Assistant, Supply Chain",Epson Hong Kong Limited,"Transportation & Logistics, Others, Freight Forwarding, Supply Chain","Full Time, Permanent",,,,,"Dental insurance, Double pay, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003010741389,Head of Supply Chain Management and Research and Development,Jardine Restaurant Group Hong Kong,"Transportation & Logistics, Supply Chain","Full Time, Permanent",,Senior,8 years,Degree,
100003010739164,Project Administrator,City Facilities Management (HKG) Limited,"Admin & HR, Clerical / Admin Staff, Others, Junior Executive",Full Time,,,,,"Dental insurance, Double pay, Education allowance, Life insurance, Medical insurance, Work from home, Five-day work week, Flexible working hours"
100003010743539,Temporary Collection Officer (4 months),World Family Ltd,"Accounting, Accounting Clerk / Supervisor, Others, Sales, CS & Business Devpt, Customer Service - Supervisor / Officer","Temporary, Contract",,,1 year,,Five-day work week
300003002956010,Sales Executive - 業務拓展/電話銷售代表,Cartrack Technologies (China) Limited,"Sales, CS & Business Devpt, Business Development, Tele-sales (Telemarketing)",Full Time,,Entry Level,2 years,Non-Degree Tertiary,"Life insurance, Performance bonus, Transportation allowance, Five-day work week"
100003010740170,Accounts Officer,Anglo Chinese Florist Limited,"Accounting, Accountant, Accounting Clerk / Supervisor, Admin & HR, Clerical / Admin Staff",Full Time,,,3 years,,"Medical insurance, Performance bonus, Flexible working hours"
100003010695701,Market Development Supervisor,CIMC MBS Hong Kong Limited,"Building & Construction, Building / Construction / QS, Engineering, Engineering Project Management, Marketing / Public Relations, Marketing - Marketing Communication","Full Time, Permanent, Contract",,Middle,3 years,Degree,"Dental insurance, Medical insurance, Performance bonus, Transportation allowance, Work from home, Five-day work week"
100003010742974,Accounting Manager,Wheelock Properties (Hong Kong) Limited,"Accounting, Accountant, Finance / Accounting Manager","Full Time, Permanent",,Senior,8 years,Degree,"Free shuttle bus, Medical insurance, Performance bonus, Five-day work week"
