job_id,job_title,company,job_function,job_type,industry,career_level,years_of_experience,qualification,benefits
100003010742627,[招聘日] adidas Senior/Sales Associate/Cashier 資深/售貨員/收銀員 | 可於旺角/尖沙咀/東涌工作優先考慮,adidas Hong Kong Limited,"Sales, CS & Business Devpt, Retail Sales","Full Time, Part Time, Permanent",,Entry Level,,School Certificate,"Dental insurance, Life insurance, Medical insurance, Transportation allowance, Travel allowance, Flexible working hours"
100003010744658,醫學美容經理/助理 Aesthetic Clinic Manager/Assistant,Dermamier Skin & Laser Centre,"Beauty Care / Health, Others",Full Time,,Senior,5 years,School Certificate,"Double pay, Medical insurance, Overtime pay, Performance bonus"
100003010744573,Assistant Finance Manager - sale & commission analysis,KOS International Limited,"Accounting, Accountant, Finance / Accounting Manager, Financial Analyst","Full Time, Permanent",,Entry Level,N/A,Degree,
100003010741428,General Clerk,JAKKS Pacific (H.K.) Limited & its subsidiaries,"Merchandising & Purchasing, Fabrics, Textiles, Toy","Full Time, Permanent",,Entry Level,2 years,School Certificate,"Double pay, Life insurance, Medical insurance, Five-day work week, Flexible working hours"
100003010742788,APAC Human Resources Specialist,Guerbet Asia Pacific Limited,"Admin & HR, Others, Compensation & Benefits, HR Supporting Staff",Full Time,,Entry Level,2 years,Degree,"Dental insurance, Double pay, Life insurance, Medical insurance, Performance bonus, Work from home, Five-day work week, Flexible working hours"
100003010744050,CSR (Corporate Social Responsibility) & QA (Quality Assurance) Officer,YKK Hong Kong Limited,"Sciences, Lab, R&D, Laboratory, Manufacturing, Quality Assurance, Control & Testing / ISO, Others","Full Time, Permanent",,Entry Level,,Degree,"Double pay, Medical insurance, Overtime pay, Performance bonus, Five-day work week"
100003010744105,Analyst Programmer (Backend System),,"Information Technology (IT), Application Specialist - Software, IT - Webmaster / SEO, Software Development","Full Time, Permanent",,Entry Level,,,"Dental insurance, Life insurance, Medical insurance, Performance bonus, Five-day work week, Flexible working hours"
100003010741466,Administration Assistant,Jacobson Group Management Limited,"Admin & HR, Clerical / Admin Staff",Full Time,,Entry Level,2 years,Non-Degree Tertiary,"Education allowance, Free shuttle bus, Medical insurance, Performance bonus, Five-day work week"
100003010744329,Marketing Executive,"New World F&B Co., Limited","Marketing / Public Relations, Marketing - General / Support, Marketing - Marketing Communication",Full Time,,Middle,3 years,Degree,
100003010744384,Electrical Engineer / Senior Electrical Engineer,Glorious Town Electrical Engineering Limited,"Engineering, Electrical / Electronics",Full Time,,Senior,2 years,,
100003010741766,兼職銷售助理 Part-time Sales Associate (Friends & Family Sales Event),KOS International Limited,"Sales, CS & Business Devpt, Retail Sales, Others","Part Time, Temporary",,Entry Level,N/A,Non-Degree Tertiary,
100003010744330,"AVP, Senior Dealer, Treasury",BOCI,"Banking / Finance, Dealing & Trading",Full Time,,Middle,5 years,Degree,
100003010743854,CS Officer / Shop Manager (New Stores),24 STORAGE,"Sales, CS & Business Devpt, Business Development, Customer Service - Supervisor / Officer, Retail Sales",Full Time,,Entry Level,N/A,School Certificate,Medical insurance
100003010741940,"Administrative Officer, Department of Digital Arts and Creative Industries (Post Ref.: 23/393)",Lingnan University,"Education, Others",Full Time,,Entry Level,2 years,Degree,
100003010744400,Accountant - Consolidation role with HK Listed Co,KOS International Limited,"Accounting, Accountant, Accounting Clerk / Supervisor, Audit","Full Time, Permanent",,Entry Level,N/A,Degree,
100003010741334,Part Time Visual Merchandising Assistant,HUGO BOSS Hong Kong Limited,"Design, Visual Merchandising, Others, Sales, CS & Business Devpt, Retail Sales",Part Time,,,,,
100003010743370,Engagement Associate,The Executive Centre Hong Kong Limited,"Admin & HR, Receptionist, Sales, CS & Business Devpt, Customer Service - Supervisor / Officer, Hospitality / F & B, Hospitality / Hotel Services","Full Time, Permanent",,Entry Level,N/A,Non-Degree Tertiary,"Dental insurance, Life insurance, Medical insurance, Overtime pay, Performance bonus, Transportation allowance, Five-day work week"
100003010744268,Quality & Environmental Controller,Shinryo (Hong Kong) Ltd,"Engineering, Engineering Project Management, Mechanical","Full Time, Permanent",,Middle,6 years,Degree,"Double pay, Education allowance, Medical insurance, Overtime pay, Performance bonus"
